time	A	B
0.0	100.0	10.0
1.0	31.832741848502472	78.16725815149752
2.0	20.564770673374735	89.43522932662525
3.0	18.702187380913234	91.29781261908677
4.0	18.39430472285453	91.60569527714543
5.0	18.34341200081819	91.65658799918175
6.0	18.334999260983423	91.66500073901655
7.0	18.333608699815642	91.66639130018436
8.0	18.33337888332138	91.66662111667863
9.0	18.33334090992075	91.66665909007928
10.0	18.333334618480983	91.66666538151907
11.0	18.3333335572009	91.66666644279913
12.0	18.333333370172788	91.66666662982726
13.0	18.333333322871486	91.66666667712856
14.0	18.333333350426543	91.6666666495735
15.0	18.33333330516612	91.66666669483392
16.0	18.333333350583366	91.66666664941667
17.0	18.333333305340236	91.6666666946598
18.0	18.33333335072807	91.66666664927199
19.0	18.333333305502933	91.66666669449712
20.0	18.33333335086171	91.66666664913834
21.0	18.333333305657693	91.66666669434234
22.0	18.333333350986422	91.6666666490136
23.0	18.333333305801986	91.66666669419804
24.0	18.333333351105885	91.66666664889415
25.0	18.333333305942094	91.66666669405794
26.0	18.33333335122147	91.66666664877854
27.0	18.333333306078583	91.66666669392143
28.0	18.33333335133393	91.66666664866608
29.0	18.3333333062114	91.66666669378859
30.0	18.33333335144273	91.66666664855727
31.0	18.333333306339103	91.66666669366087
32.0	18.33333335154759	91.66666664845238
33.0	18.333333306462563	91.66666669353742
34.0	18.333333351650925	91.66666664834906
35.0	18.333333306584688	91.6666666934153
36.0	18.333333351750795	91.66666664824919
37.0	18.33333330670566	91.6666666932943
38.0	18.333333351851163	91.66666664814879
39.0	18.333333306824876	91.66666669317507
40.0	18.333333351950852	91.6666666480491
41.0	18.3333333069419	91.66666669305808
42.0	18.333333352047855	91.66666664795213
43.0	18.333333307056773	91.66666669294322
44.0	18.33333335214409	91.6666666478559
45.0	18.333333307170147	91.66666669282986
46.0	18.33333335223976	91.66666664776022
47.0	18.33333330728397	91.666666692716
48.0	18.33333335233495	91.66666664766502
49.0	18.333333307396785	91.6666666926032
50.0	18.333333352429936	91.66666664757007
51.0	18.333333307507925	91.66666669249206
52.0	18.333333352523425	91.66666664747657
53.0	18.333333307617664	91.66666669238232
54.0	18.333333352617224	91.66666664738275
55.0	18.333333307726374	91.66666669227361
56.0	18.333333352709317	91.66666664729065
57.0	18.33333330783369	91.66666669216626
58.0	18.3333333528008	91.66666664719915
59.0	18.333333307940755	91.66666669205921
60.0	18.33333335289179	91.66666664710816
61.0	18.33333330804535	91.66666669195459
62.0	18.33333335298163	91.66666664701832
63.0	18.333333308149303	91.66666669185064
64.0	18.333333353071165	91.66666664692877
65.0	18.333333308252417	91.66666669174755
66.0	18.333333353159954	91.66666664684003
67.0	18.333333308354018	91.66666669164594
68.0	18.333333353247543	91.66666664675243
69.0	18.333333308454606	91.66666669154536
70.0	18.333333353334666	91.6666666466653
71.0	18.33333330855497	91.666666691445
72.0	18.333333353421708	91.66666664657825
73.0	18.333333308653486	91.66666669134645
74.0	18.33333335350724	91.66666664649271
75.0	18.333333308749854	91.66666669125011
76.0	18.33333335359074	91.66666664640924
77.0	18.33333330884502	91.66666669115497
78.0	18.333333353673787	91.66666664632618
79.0	18.333333308938894	91.66666669106105
80.0	18.333333353755332	91.66666664624462
81.0	18.333333309031094	91.66666669096887
82.0	18.33333335383695	91.66666664616302
83.0	18.33333330912252	91.66666669087745
84.0	18.33333335391679	91.6666666460832
85.0	18.333333309211472	91.66666669078852
86.0	18.333333353994778	91.66666664600523
87.0	18.33333330929814	91.66666669070185
88.0	18.33333335407101	91.666666645929
89.0	18.333333309384095	91.66666669061591
90.0	18.333333354146223	91.66666664585378
91.0	18.333333309467985	91.66666669053203
92.0	18.333333354219533	91.66666664578047
93.0	18.333333309548845	91.66666669045114
94.0	18.333333354290385	91.66666664570958
95.0	18.33333330962765	91.6666666903723
96.0	18.33333335435968	91.66666664564029
97.0	18.333333309704756	91.66666669029522
98.0	18.333333354426944	91.66666664557302
99.0	18.33333330977985	91.66666669022013
100.0	18.333333354493003	91.66666664550698
