time	X	Y	Z
0.0	0.5	0.5	0.5
0.001	0.4389755966755095	0.6274470413524983	0.49831469890015656
0.002	0.4300436264298152	0.6504658711990743	0.49667209045185745
0.003	0.4301546343266036	0.6552980905748951	0.49505791996858206
0.004	0.4316843709386941	0.6572071760934158	0.49347272128454156
0.005	0.43341267406374073	0.6586367054872039	0.49191626598844984
0.006	0.4351481970620169	0.6599709794818419	0.490388134703793
0.007	0.4368613885564819	0.6612704375631073	0.4888878826923582
0.008	0.43854799498048885	0.662544875569575	0.48741506321778333
0.009000000000000001	0.4402076940698401	0.6637961902432908	0.4859692393033959
0.01	0.44184077789183646	0.665025039808282	0.484549976881587
0.011	0.4434476315867892	0.6662318865834793	0.4831568451459251
0.012	0.44502864718158874	0.6674171362058997	0.4817894282014066
0.013000000000000001	0.446584177132348	0.6685812339241646	0.4804473239236666
0.014	0.4481146571029158	0.6697245480369101	0.4791300987966594
0.015	0.4496204626308127	0.6708474704806828	0.477837353044977
0.016	0.4511019466436699	0.6719504075559368	0.4765686976353151
0.017	0.45255948634220966	0.6730337486591491	0.4753237323951922
0.018000000000000002	0.4539934691348784	0.6740978228048783	0.47410207106115565
0.019	0.4554042540692631	0.6751430081001837	0.4729033300036431
0.02	0.45679219716718905	0.6761696797686605	0.4717271286660646
0.021	0.45815765487479326	0.6771781688784269	0.47057310159089505
0.022	0.4595009680493597	0.6781688031541357	0.4694408953609661
0.023	0.4608224983404104	0.6791419618812443	0.4683301239109372
0.024	0.4621225901384963	0.6800979578786659	0.46724043647379065
0.025	0.46340160155492055	0.6810370722490909	0.46617148372891404
0.026000000000000002	0.46465984537101707	0.6819596755297338	0.46512291677484324
0.027	0.46589765338898287	0.6828660532603493	0.46409440309361416
0.028	0.46711536114853064	0.6837565203319645	0.46308559723709336
0.029	0.4683132852677661	0.6846313807808614	0.46209617078341325
0.03	0.46949175147576233	0.6854909141030459	0.46112579748204524
0.031	0.470651076598456	0.6863354040458243	0.46017415580355253
0.032	0.4717915614062716	0.687165153324134	0.45924092879944445
0.033	0.4729135106843441	0.687980420283889	0.45832581221735585
0.034	0.47401723367636195	0.6887814877284135	0.4574284900824602
0.035	0.47510303967648637	0.6895686351492981	0.4565486475119779
0.036000000000000004	0.47617118024464833	0.6903420754222457	0.4556860334419511
0.037	0.4772219966280352	0.6911021049221677	0.4548403046045072
0.038	0.47825575032666345	0.6918489700051781	0.45401119117937233
0.039	0.479272717998555	0.6925829045041757	0.45319841707887965
0.04	0.48027318319244694	0.6933041531738375	0.452401697530412
0.041	0.48125742081757816	0.6940129667659127	0.4516207516999371
0.042	0.48222569190060366	0.6947095853136257	0.4508553122309995
0.043000000000000003	0.4831782744855142	0.6953942136795708	0.4501051121352512
0.044	0.48411542964026333	0.6960670816801805	0.4493698875684838
0.045	0.48503740463639117	0.696728403849046	0.4486493897110588
0.046	0.48594446449203726	0.6973784098386615	0.44794335197024343
0.047	0.48683685132627685	0.698017318903656	0.4472515274541141
0.048	0.4877148332423548	0.698645294359426	0.44657367063357956
0.049	0.48857863081044783	0.6992625864301693	0.4459095388517279
0.05	0.48942849580914943	0.6998693805375654	0.44525889025381155
0.051000000000000004	0.490264662154253	0.7004658710314469	0.4446214923827937
0.052000000000000005	0.49108734541355703	0.7010522372937454	0.4439971309048129
0.053	0.4918967913867307	0.7016286848569412	0.44338556106614124
0.054	0.49269321843875774	0.7021954061162307	0.44278656197723004
0.055	0.4934768466194146	0.7027525801535739	0.4421999162215085
0.056	0.4942479080517425	0.7033003575770465	0.4416254078824704
